Date,SalesPerson,Sales,Total Excluding Tax,Total Including Tax,Profit
01/01/2013,Amy Trefl,10,1152,1324.8,418
01/01/2013,Anthony Grosse,19,3533.5,4063.53,2259.5
01/01/2013,Archer Lamble,6,3827.2,4401.28,1827
01/01/2013,Hudson Hollinworth,8,3370,3875.5,1584
01/01/2013,Hudson Onslow,8,1264,1453.6,663
01/01/2013,Jack Potter,6,865,994.75,578.5
01/01/2013,Kayla Woodcock,2,2368,2723.2,870
01/01/2013,Lily Code,8,4008,4609.2,2230.5
01/01/2013,Sophia Hinton,12,5708,6564.2,2825
01/01/2013,Taj Shand,10,2379.4,2736.31,1091
02/01/2013,Amy Trefl,24,28092.15,32305.98,13858.55
02/01/2013,Anthony Grosse,27,21824.4,25098.06,11826.3
02/01/2013,Archer Lamble,13,5301.6,6096.84,2131
02/01/2013,Hudson Hollinworth,26,11016.4,12668.86,5857.7
02/01/2013,Hudson Onslow,13,15683.8,18036.37,7507.9
02/01/2013,Jack Potter,25,24282.6,27924.99,12728.9
02/01/2013,Kayla Woodcock,7,10870,12500.5,5081
02/01/2013,Lily Code,23,16275,18716.25,7963.5
02/01/2013,Sophia Hinton,25,15175.2,17451.48,7647
02/01/2013,Taj Shand,24,11864.7,13644.41,5948.5
03/01/2013,Amy Trefl,22,22629.8,26024.27,12444.8
03/01/2013,Anthony Grosse,31,20760.35,23874.41,10295.3
03/01/2013,Archer Lamble,16,8403.6,9664.14,4524.85
03/01/2013,Hudson Hollinworth,26,27469,31589.35,14179
03/01/2013,Hudson Onslow,10,6816,7838.4,3414.5
03/01/2013,Jack Potter,23,5561.9,6396.19,3118.2
03/01/2013,Kayla Woodcock,17,8667.1,9967.17,4611.2
03/01/2013,Lily Code,29,19745.4,22707.21,9318.4
03/01/2013,Sophia Hinton,14,7822,8995.3,4031.5
03/01/2013,Taj Shand,27,7748.25,8910.49,4138
04/01/2013,Amy Trefl,16,10283.8,11826.37,4203.9
04/01/2013,Anthony Grosse,16,10227.5,11761.63,5210
04/01/2013,Archer Lamble,14,10346.6,11898.59,5202.5
04/01/2013,Hudson Hollinworth,7,7056,8114.4,3426
04/01/2013,Hudson Onslow,10,7276.5,8367.98,3471
04/01/2013,Jack Potter,20,13771.6,15837.34,6864.3
